epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3409.61,0.51788,0.37533,0.88402,0.99956,1,0.995,0.90252,0.44158,0.29807,0.84113,0.0011486,0.0011486,0.0011486
45,3465.35,0.56409,0.3893,0.94175,0.99957,1,0.995,0.91186,0.43515,0.31314,0.84472,0.0011288,0.0011288,0.0011288
46,3525.16,0.53606,0.39169,0.90649,0.99955,1,0.995,0.90823,0.453,0.30992,0.8483,0.001109,0.001109,0.001109
47,3583.83,0.60278,0.42167,0.9391,0.99954,1,0.995,0.9119,0.46792,0.32387,0.83821,0.0010892,0.0010892,0.0010892
48,3650.12,0.5048,0.37036,0.90765,0.99952,1,0.995,0.90645,0.5224,0.41573,0.8718,0.0010694,0.0010694,0.0010694
49,3718.23,0.51364,0.35887,0.88879,0.99953,1,0.995,0.91028,0.45751,0.31896,0.84508,0.0010496,0.0010496,0.0010496
50,3786.55,0.48759,0.35863,0.89392,0.99953,1,0.995,0.9015,0.43247,0.31793,0.8287,0.0010298,0.0010298,0.0010298
51,3847.69,0.52334,0.38758,0.91411,0.99951,1,0.995,0.91196,0.39305,0.29917,0.8229,0.00101,0.00101,0.00101
52,3916.22,0.49126,0.35125,0.89044,0.99956,1,0.995,0.90183,0.39614,0.30125,0.81544,0.0009902,0.0009902,0.0009902
53,3984.1,0.51343,0.34603,0.92296,0.99957,1,0.995,0.90688,0.40953,0.2841,0.81482,0.0009704,0.0009704,0.0009704
54,4049.59,0.46765,0.56911,0.80605,0.99956,1,0.995,0.90981,0.40191,0.26562,0.81549,0.0009506,0.0009506,0.0009506
55,4116.6,0.50898,0.40428,0.92357,0.99957,1,0.995,0.91356,0.40967,0.26446,0.82304,0.0009308,0.0009308,0.0009308
56,4188.72,0.51059,0.36677,0.90884,0.99958,1,0.995,0.91475,0.42335,0.31165,0.82435,0.000911,0.000911,0.000911
57,4250.34,0.50054,0.34829,0.9061,0.99957,1,0.995,0.91242,0.39109,0.27911,0.80461,0.0008912,0.0008912,0.0008912
58,4307.42,0.52252,0.37524,0.91083,0.99955,1,0.995,0.90886,0.37618,0.26518,0.80198,0.0008714,0.0008714,0.0008714
59,4372.87,0.54759,0.3745,0.93443,0.99955,1,0.995,0.92367,0.36284,0.27453,0.80222,0.0008516,0.0008516,0.0008516
60,4445.31,0.47183,0.33305,0.9015,0.99957,1,0.995,0.92495,0.3587,0.2761,0.80339,0.0008318,0.0008318,0.0008318
61,4510.5,0.59087,0.333,1.01213,0.99956,1,0.995,0.92799,0.35163,0.26107,0.80146,0.000812,0.000812,0.000812
62,4585.52,0.61836,0.41337,1.0533,0.99957,1,0.995,0.92951,0.3616,0.23839,0.80621,0.0007922,0.0007922,0.0007922
63,4647.53,0.4942,0.33434,0.92628,0.99957,1,0.995,0.92802,0.38964,0.24644,0.81365,0.0007724,0.0007724,0.0007724
64,4706.37,0.48937,0.32573,0.91117,0.99956,1,0.995,0.92672,0.35621,0.26339,0.79376,0.0007526,0.0007526,0.0007526
65,4766.88,0.48344,0.35779,0.92005,0.99956,1,0.995,0.92459,0.36417,0.24807,0.79748,0.0007328,0.0007328,0.0007328
66,4830.47,0.52574,0.41859,0.98584,0.99956,1,0.995,0.9274,0.39338,0.24369,0.8153,0.000713,0.000713,0.000713
67,4893.13,0.49653,0.31479,0.88356,0.99957,1,0.995,0.93016,0.38447,0.25094,0.81041,0.0006932,0.0006932,0.0006932
68,4969.17,0.47763,0.31684,0.89247,0.99957,1,0.995,0.9175,0.39432,0.23907,0.80975,0.0006734,0.0006734,0.0006734
69,5030.68,0.46802,0.30323,0.90544,0.99957,1,0.995,0.9289,0.38327,0.23883,0.80317,0.0006536,0.0006536,0.0006536
70,5095.43,0.50534,0.30706,0.91995,0.99957,1,0.995,0.91471,0.40986,0.24098,0.80468,0.0006338,0.0006338,0.0006338
71,5150.83,0.46801,0.33042,0.90316,0.99956,1,0.995,0.9318,0.37783,0.23327,0.79901,0.000614,0.000614,0.000614
72,5212.53,0.4755,0.32159,0.91706,0.99956,1,0.995,0.92957,0.36379,0.23625,0.79474,0.0005942,0.0005942,0.0005942
73,5273.61,0.43515,0.28719,0.86828,0.99955,1,0.995,0.92874,0.3472,0.23602,0.78942,0.0005744,0.0005744,0.0005744
74,5337.58,0.4647,0.3004,0.90575,0.99952,1,0.995,0.94437,0.35172,0.24113,0.79167,0.0005546,0.0005546,0.0005546
75,5418.26,0.46916,0.30554,0.89038,0.99949,1,0.995,0.94142,0.34539,0.25641,0.79074,0.0005348,0.0005348,0.0005348
76,5479.2,0.43669,0.27865,0.87512,0.99948,1,0.995,0.93547,0.35702,0.25404,0.7928,0.000515,0.000515,0.000515
77,5546.11,0.4514,0.30566,0.87609,0.9995,1,0.995,0.94158,0.33595,0.25149,0.78657,0.0004952,0.0004952,0.0004952
78,5620.58,0.44318,0.28223,0.88155,0.99957,1,0.995,0.94326,0.35075,0.24174,0.79093,0.0004754,0.0004754,0.0004754
79,5682.42,0.44809,0.32357,0.913,0.99957,1,0.995,0.95198,0.33798,0.25042,0.78862,0.0004556,0.0004556,0.0004556
80,5750.69,0.47067,0.3026,0.88787,0.99957,1,0.995,0.9445,0.31565,0.21228,0.77902,0.0004358,0.0004358,0.0004358
81,5835.16,0.41443,0.28792,0.89711,0.99957,1,0.995,0.94714,0.29951,0.21102,0.77697,0.000416,0.000416,0.000416
82,5894.3,0.38625,0.27171,0.86862,0.99957,1,0.995,0.95189,0.29287,0.20195,0.77575,0.0003962,0.0003962,0.0003962
83,5959.33,0.41911,0.28015,0.87329,0.99957,1,0.995,0.94859,0.30473,0.21894,0.77694,0.0003764,0.0003764,0.0003764
84,6046.14,0.4504,0.28501,0.90352,0.99957,1,0.995,0.9445,0.30165,0.21972,0.78127,0.0003566,0.0003566,0.0003566
85,6129.16,0.42467,0.27053,0.90038,0.99958,1,0.995,0.94119,0.31728,0.21939,0.7882,0.0003368,0.0003368,0.0003368
86,6227.05,0.41241,0.30521,0.89055,0.99958,1,0.995,0.93852,0.3327,0.22637,0.79574,0.000317,0.000317,0.000317
87,6328.11,0.4308,0.26989,0.8622,0.99958,1,0.995,0.94002,0.33235,0.22271,0.79751,0.0002972,0.0002972,0.0002972
